Author (Year),Country,Sponsor,Arms (in LSR),Setting,Condition,Treatment duration,Intervention group,Participants (n),Females (n),Age (mean),Age (SD) or range (specified),Dosage fixed or flexible,Intervention format,Planned dosage range (min-max mg/day),Delivered dosage range (min-max mg/day),Delivered dosage (mean mg/day)
.,.,.,.,.,.,.,RX-10100 5mg,21,11,44.8,11.9,Fixed,Oral,5mg,5mg,NI
.,.,.,.,.,.,.,RX-10100 10mg,16,7,42.6,11.97,Fixed,Oral,10mg,10mg,NI
.,.,.,.,.,.,.,RX-10100 15mg,17,9,39.4,11.27,Fixed,Oral,15mg,15mg,NI
Robin (1958),UK,NI,2,Secondary/Tertiary Care,Depression,4 weeks,Placebo,23,13,39.5,13.9,Flexible,Oral,NI,NI,NI
.,.,.,.,.,.,.,Methylphe*date,22,16,37.5,11.5,Flexible,Oral,20mg to 40mg,NI,NI
Rowan (1980),NI,NI,2,Secondary/Tertiary Care,Depression or mixed anxiety/depression,6 weeks,Phenelzine,NI,NI,NI,NI,Flexible,Oral,45mg to 75mg,NI,NI
.,.,.,.,.,.,.,Placebo,NI,NI,NI,NI,Fixed,Oral,NI,NI,NI
Tomarken (2004),USA,Glaxo Wellcome Inc.,2,Commu*ty,Major depression,6 weeks,Bupropion SR,10,6,39.4,9.8000000000000007,Fixed,Oral,300mg to 400mg,100mg to 400mg,NI
.,.,.,.,.,.,.,Placebo,9,6,37.5,7.8,Fixed,Oral,NI,NI,NI
Ucha (1990),NI,NI,2,NI,Major depression,6 weeks,Placebo,24,13,42.2,15.1,Flexible,Oral,NI,NI,5.6 tabs per day
.,.,.,.,.,.,.,Moclobemide,24,16,40.5,15.6,Flexible,Oral,300mg to 600mg,NI,405mg
Versia* (1989),NI,NI,2,NI,Major depression,6 weeks,Moclobemide,164,124,44,12,Flexible,Oral,300mg to 600mg,NI,NI
.,.,.,.,.,.,.,Placebo,162,123,42,12,Flexible,Oral,NI,NI,NI
Versia* (1990),Brazil,NI,2,NI,Major depression,6 weeks,Moclobemide,25,NI,NI,NI,NI,Oral,600mg,600mg,600mg
.,.,.,.,.,.,.,Placebo,25,NI,NI,NI,NI,Oral,NI,NI,NI
Versia* (1997),NI,NI,2,Secondary/Tertiary Care,Dysthymia,6 weeks,Moclobemide,108,73,41,12,Flexible,Oral,75mg to 750mg,75mg to 750mg,633mg
.,.,.,.,.,.,.,Placebo,104,71,40,11,Flexible,Oral,NI,NI,NI
White (1984),USA,NI,2,Secondary/Tertiary Care,Major depression,4 weeks,Tranylcypromine,63,14,38,NI,Flexible,Oral,30mg to 60mg,NI,44.4mg
.,.,.,.,.,.,.,Placebo,59,21,39,NI,Flexible,Oral,NI,NI,NI
Zarate (2006),NI,NI,2,Secondary/Tertiary Care,Major depression,8 weeks,Memantine,16,9,47.1,12.3,Flexible,Oral,5mg to 20mg,5mg to 20mg,19.4mg
.,.,.,.,.,.,.,Placebo,16,7,46.1,9.4,Flexible,Oral,NI,NI,NI
Zisook (1985),NI,NI,2,Secondary/Tertiary Care,Major or minor depression,6 weeks,Isocarboxazid,NI,NI,NI,NI,Flexible,Oral,* to 80mg,NI,39.00mg
.,.,.,.,.,.,.,Placebo,NI,NI,NI,NI,NI,NI,NI,NI,NI
